YearMonth,CompanyRevenue,OrderCount,ActiveCustomers,ONS_RSI,ONS_MoM_Change
2010-12,568055.72,1396,885,,
2011-01,564241.64,984,739,0.9,
2011-02,443546.02,992,757,0.6,-33.33
2011-03,585262.85,1312,973,-0.5,-183.33
2011-04,455681.91,1140,853,1.1,-320.0
2011-05,660932.9,1545,1055,0.8,-27.27
2011-06,654932.56,1390,990,0.6,-25.0
2011-07,593231.9,1321,946,0.3,-50.0
2011-08,637157.24,1268,933,0.1,-66.67
2011-09,941830.81,1742,1261,0.6,500.0
2011-10,1006372.9,1905,1361,-0.5,-183.33
2011-11,1143275.77,2644,1661,0.5,-200.0
2011-12,513395.43,777,615,0.4,-20.0
