Date,Revenue,Fitted,IsForcast,Lower_Bound,Upper_Bound
2010-12-01,568055.72,503462.14,0,,
2011-01-01,564241.64,605288.65,0,,
2011-02-01,443546.02,631489.52,0,,
2011-03-01,585262.85,552640.89,0,,
2011-04-01,455681.91,630831.87,0,,
2011-05-01,660932.9,560557.45,0,,
2011-06-01,654932.56,686524.91,0,,
2011-07-01,593231.9,718096.07,0,,
2011-08-01,637157.24,682871.73,0,,
2011-09-01,941830.8099999999,703830.76,0,,
2011-10-01,1006372.9,926877.89,0,,
2011-11-01,1143275.77,1036606.76,0,,
2011-12-01,1165452.0,,1,975716.58,1355187.43
2012-01-01,1217953.06,,1,1028217.63,1407688.48
2012-02-01,1270191.61,,1,1080456.18,1459927.03
